COSECHA,codmes,MADURACION,SALDO
202301,202406,17,443059.33
202301,202407,18,356521.22000000003
202301,202408,19,215387.78999999998
202301,202409,20,150068.48
202301,202410,21,91244.01
202301,202411,22,108609.6
202301,202412,23,121992.25
202301,202501,24,54165.92
202301,202502,25,52658.95
202301,202503,26,148345.97
202301,202504,27,245528.63999999998
202301,202505,28,146888.37
202302,202302,0,492500.0
202302,202303,1,376307.35
202302,202304,2,1851266.44
202302,202305,3,7816096.260000002
202302,202306,4,1.059571994E7
202302,202307,5,9489157.74
202302,202308,6,7966987.48
202302,202309,7,5529138.66
202302,202310,8,4773785.870000001
202302,202311,9,3369220.14
202302,202312,10,2433626.3699999996
202302,202401,11,1737871.3200000003
202302,202402,12,1313198.28
202302,202403,13,896533.0
202302,202404,14,635409.65
202302,202405,15,522990.38
202302,202406,16,342259.55
202302,202407,17,344580.57
202302,202408,18,151417.96
202302,202409,19,192536.93
202302,202410,20,119667.1
202302,202411,21,63783.33
202302,202412,22,25077.21
202302,202501,23,39045.840000000004
202302,202502,24,19504.399999999998
202302,202503,25,33537.84
202302,202504,26,15472.06
202302,202505,27,40257.2
202303,202303,0,573300.0
202303,202304,1,422049.09
202303,202305,2,2052033.7899999998
202303,202306,3,7748715.169999999
202303,202307,4,8934990.79
202303,202308,5,7705491.589999999
202303,202309,6,5777831.5200000005
202303,202310,7,4509812.69
202303,202311,8,3796910.24
202303,202312,9,3495268.8199999994
202303,202401,10,2056882.2299999997
202303,202402,11,1329247.5199999998
202303,202403,12,1044381.3999999998
202303,202404,13,905892.1599999999
202303,202405,14,784818.66
202303,202406,15,574946.89
202303,202407,16,395527.39
202303,202408,17,360106.5
202303,202409,18,111595.54
202303,202410,19,89092.79999999999
202303,202411,20,68422.58
202303,202412,21,54903.29
202303,202501,22,93336.09000000001
202303,202502,23,4538.9400000000005
202303,202503,24,3065.5
202303,202504,25,575.6
202303,202505,26,0.0
202304,202304,0,394800.0
202304,202305,1,385124.32999999996
202304,202306,2,1539260.14
202304,202307,3,6275173.1899999995
202304,202308,4,8473523.64
202304,202309,5,7663477.129999999
202304,202310,6,6574419.1
202304,202311,7,5594433.07
202304,202312,8,4913574.52
202304,202401,9,3961719.8200000003
202304,202402,10,2850098.5699999994
202304,202403,11,2347375.7399999998
202304,202404,12,1264794.88
202304,202405,13,1523638.57
202304,202406,14,1529930.5299999998
202304,202407,15,1221118.0399999998
202304,202408,16,912865.91
202304,202409,17,480173.72
202304,202410,18,578305.8799999999
202304,202411,19,420891.60999999987
202304,202412,20,294207.66000000003
202304,202501,21,161655.36
202304,202502,22,111362.05
202304,202503,23,94910.6
202304,202504,24,77749.48000000001
202304,202505,25,95772.6
202305,202305,0,564000.0
202305,202306,1,478119.99
202305,202307,2,1675105.09
202305,202308,3,5606914.760000001
202305,202309,4,7599162.170000001
202305,202310,5,7553263.089999999
202305,202311,6,7426890.23
202305,202312,7,5413752.36
202305,202401,8,4922880.96
202305,202402,9,4118372.4400000004
202305,202403,10,3321829.98
202305,202404,11,2297452.13
202305,202405,12,2053791.84
202305,202406,13,1444188.6100000003
202305,202407,14,1430508.87
202305,202408,15,994808.75
202305,202409,16,855232.2599999997
202305,202410,17,862123.4199999998
202305,202411,18,674490.3399999999
202305,202412,19,400668.43000000005
202305,202501,20,409477.79
202305,202502,21,288761.01
202305,202503,22,229363.28
202305,202504,23,168438.89000000004
202305,202505,24,122992.90999999999
202306,202306,0,628218.24
202306,202307,1,509464.0299999999
202306,202308,2,1721143.1999999997
202306,202309,3,5328572.069999999
202306,202310,4,7322355.49
202306,202311,5,6293797.45
202306,202312,6,5565729.35
202306,202401,7,3950656.0300000003
202306,202402,8,2930667.39
202306,202403,9,2917956.8799999994
202306,202404,10,2090496.4899999998
202306,202405,11,1760749.1300000001
202306,202406,12,1506174.7099999997
202306,202407,13,1250932.75
202306,202408,14,1273194.05
202306,202409,15,679050.5999999999
202306,202410,16,827682.9499999998
202306,202411,17,501309.1700000001
202306,202412,18,522432.58999999997
202306,202501,19,434820.87
202306,202502,20,305689.86000000004
202306,202503,21,242062.38999999998
202306,202504,22,228518.06
202306,202505,23,192185.6
202307,202307,0,288300.0
202307,202308,1,416471.13000000006
202307,202309,2,1422893.1599999997
202307,202310,3,5062702.5200000005
202307,202311,4,6365855.670000002
202307,202312,5,5079243.149999999
202307,202401,6,4096312.22
202307,202402,7,3153530.9400000004
202307,202403,8,2996109.0299999993
202307,202404,9,2190142.06
202307,202405,10,1830358.27
202307,202406,11,1751513.8299999998
202307,202407,12,1374720.47
202307,202408,13,1056522.4600000002
202307,202409,14,912127.65
202307,202410,15,767930.9999999998
202307,202411,16,597200.7699999998
202307,202412,17,554335.0700000001
202307,202501,18,295369.83999999997
202307,202502,19,251434.04999999996
202307,202503,20,197832.56
202307,202504,21,97259.55
202307,202505,22,104699.35
202308,202308,0,212400.0
202308,202309,1,86827.07
202308,202310,2,1747150.4500000002
202308,202311,3,7352498.46
202308,202312,4,9047459.44
202308,202401,5,8020793.789999999
202308,202402,6,6160636.679999999
202308,202403,7,4932840.009999999
202308,202404,8,4429946.8100000005
