cosecha;codmes;maduracion;saldo_inicial;provisionporc;pdponderado;rango_pd;porcentajeacum;REAL;acumulado30;PRIMERA PARTE;SEGUNDA PARTE;TERCERA;PROYECTADO
202205;202210;5;771195285.79;0.01;0.05;3. Medio II;0.03;24798555.61;0.12;0.01;0.01;0.01;9686719.63
202205;202211;6;771195285.79;0.01;0.05;3. Medio II;0.04;29616983.76;0.12;0.01;0.01;0.01;9766895.40
202205;202212;7;771195285.79;0.01;0.05;3. Medio II;0.04;34440039.07;0.12;0.01;0.01;0.01;10051952.76
202205;202301;8;771195285.79;0.01;0.05;3. Medio II;0.05;39907042.45;0.12;0.01;0.01;0.01;10541891.72
202205;202302;9;771195285.79;0.01;0.05;3. Medio II;0.06;43978953.56;0.12;0.01;0.01;0.01;11236712.28
202205;202303;10;771195285.79;0.01;0.05;3. Medio II;0.06;49452897.70;0.12;0.02;0.02;0.02;12136414.43
202205;202304;11;771195285.79;0.01;0.05;3. Medio II;0.07;54867459.80;0.12;0.02;0.02;0.02;13240998.18
202205;202305;12;771195285.79;0.01;0.05;3. Medio II;0.08;59366613.10;0.12;0.02;0.02;0.02;14550463.52
202205;202306;13;771195285.79;0.01;0.05;3. Medio II;0.08;64489663.38;0.12;0.02;0.02;0.02;16064810.47
202205;202307;14;771195285.79;0.01;0.05;3. Medio II;0.09;68596278.28;0.12;0.02;0.02;0.02;17784039.01
202205;202308;15;771195285.79;0.00;0.05;3. Medio II;0.09;71430420.96;0.12;0.03;0.03;0.03;19708149.14
202205;202309;16;771195285.79;0.00;0.05;3. Medio II;0.10;73868169.25;0.12;0.03;0.03;0.03;21837140.87
202205;202310;17;771195285.79;0.00;0.05;3. Medio II;0.10;76386893.06;0.12;0.03;0.05;0.05;36383997.32
202205;202311;18;771195285.79;0.00;0.05;3. Medio II;0.10;78262439.99;0.12;0.03;0.05;0.05;37342491.38
202205;202312;19;771195285.79;0.00;0.05;3. Medio II;0.10;80614585.61;0.12;0.04;0.05;0.05;38226040.92
202205;202401;20;771195285.79;0.00;0.05;3. Medio II;0.11;83183437.11;0.12;0.04;0.05;0.05;39045520.61
202205;202402;21;771195285.79;0.00;0.05;3. Medio II;0.11;84802176.02;0.12;0.05;0.05;0.05;39809597.43
202205;202403;22;771195285.79;0.00;0.05;3. Medio II;0.11;86703943.59;0.12;0.05;0.05;0.05;40525290.62
202205;202404;23;771195285.79;0.00;0.05;3. Medio II;0.11;88305716.20;0.12;0.06;0.05;0.05;41198364.56
202205;202405;24;771195285.79;0.00;0.05;3. Medio II;0.12;89670731.86;0.12;0.06;0.05;0.05;41833611.16
202205;202406;25;771195285.79;0.00;0.05;3. Medio II;0.12;91002586.11;0.12;0.07;0.06;0.06;42435056.97
202205;202407;26;771195285.79;0.00;0.05;3. Medio II;0.12;91933418.82;0.12;0.07;0.06;0.06;43006118.02
202205;202408;27;771195285.79;0.00;0.05;3. Medio II;0.12;92974532.46;0.12;0.08;0.06;0.06;43549717.26
202205;202409;28;771195285.79;0.00;0.05;3. Medio II;0.12;93727219.06;0.12;0.08;0.06;0.06;44068375.18
202205;202410;29;771195285.79;0.00;0.05;3. Medio II;0.12;94704323.49;0.12;0.09;0.06;0.06;44564280.44
202205;202411;30;771195285.79;0.00;0.05;3. Medio II;0.12;95322050.91;0.12;0.09;0.06;0.06;44564280.44
202205;202412;31;771195285.79;0.00;0.05;3. Medio II;0.12;95384517.73;0.12;0.10;0.06;0.06;44564280.44
202205;202501;32;771195285.79;0.00;0.05;3. Medio II;0.12;95996075.59;0.12;0.11;0.06;0.06;44564280.44
202205;202502;33;771195285.79;0.00;0.05;3. Medio II;0.12;95951346.26;0.12;0.12;0.06;0.06;44564280.44
202205;202503;34;771195285.79;0.00;0.05;3. Medio II;0.13;96626142.14;0.12;0.12;0.06;0.06;44564280.44
202205;202504;35;771195285.79;0.00;0.05;3. Medio II;0.13;96877551.80;0.12;0.13;0.06;0.06;44564280.44
202205;202505;36;771195285.79;0.00;0.05;3. Medio II;0.13;96997087.07;0.12;0.14;0.06;0.06;44564280.44
202205;202506;37;771195285.79;0.00;0.05;3. Medio II;0.13;97192199.48;0.12;0.15;0.06;0.06;44564280.44
202205;202507;38;771195285.79;0.00;0.05;3. Medio II;0.13;97304022.79;0.12;0.16;0.06;0.06;44564280.44
202205;202508;39;771195285.79;0.00;0.05;3. Medio II;0.13;97552347.68;0.12;0.17;0.06;0.06;44564280.44
202205;202509;40;771195285.79;0.00;0.05;3. Medio II;0.13;97649518.28;0.12;0.17;0.06;0.06;44564280.44
202206;202206;0;746480925.44;0.01;0.05;3. Medio II;0.01;7511837.55;0.12;0.01;0.01;0.01;7464809.25
202206;202207;1;746480925.44;0.00;0.05;3. Medio II;0.01;6907188.00;0.12;0.01;0.01;0.01;6718328.33
